GraphName;TotalNodes;TotalEdges;OrderingType;K;CompleteHeuristicName;HeuristicName;NormalizedLoad;CuttedEdges;MaxCuttedEdgesRatio;MinCuttedEdgesRatio;CuttedEdgesRatio;MaxTime;MinTime;AvgTime;MaxIOTime;MinIOTime;AvgIOTime;MaxPartitioningTime;MinPartitioningTime;AvgPartitioningTime;IterationTime
3elt.graph;4720;13722;.bfs;2;Hashing;H;1.0;8390.75;0.6171840839527766;0.6031919545255794;0.6114815624544527;21;18;19.75;7;4;5.0;17;17;14.75;4
3elt.graph;4720;13722;.bfs;2;Unweighted_Deterministic_Greedy_Parallel;UDG;10.004.237.288.135.500;308.25;0.030753534470193848;0.017344410435796532;0.022463926541320508;46;32;39.75;6;4;4.75;40;40;35.0;4
3elt.graph;4720;13722;.bfs;2;Linear_Deterministic_Greedy_Parallel;LDG;1.0;309.0;0.03089928581839382;0.017271534761696544;0.022518583296895496;50;35;39.25;5;3;4.0;47;47;35.25;4
3elt.graph;4720;13722;.bfs;2;Exponentially_Deterministic_Greedy_Parallel;EDG;1.0;309.0;0.03089928581839382;0.017271534761696544;0.022518583296895496;38;36;36.75;4;4;4.0;34;34;32.75;4
3elt.graph;4720;13722;.bfs;2;Unweighted_Randomized_Greedy_Parallel;URG;10.004.237.288.135.500;308.25;0.030753534470193848;0.017344410435796532;0.022463926541320508;53;45;49.0;7;4;4.75;49;49;44.25;4
3elt.graph;4720;13722;.bfs;2;Linear_Randomized_Greedy_Parallel;LRG;1.0;309.0;0.03089928581839382;0.017271534761696544;0.022518583296895496;103;56;74.25;14;4;7.5;97;97;66.75;4
3elt.graph;4720;13722;.bfs;2;Exponentially_Randomized_Greedy_Parallel;ERG;1.0;309.0;0.03089928581839382;0.017271534761696544;0.022518583296895496;69;58;61.5;7;3;4.25;62;62;57.25;4
3elt.graph;4720;13722;.bfs;2;Unweighted_Triangles_Parallel;UT;10.004.237.288.135.500;521.0;0.04715056114269057;0.027984258854394404;0.0379682262060924;52;33;38.75;7;5;6.0;46;46;32.75;4
3elt.graph;4720;13722;.bfs;2;Linear_Triangles_Parallel;LT;1.0;519.25;0.047296312490890544;0.02769275615799446;0.03784069377641743;36;36;36.0;7;3;4.75;33;33;31.25;4
3elt.graph;4720;13722;.bfs;2;Exponentially_Triangles_Parallel;ET;1.0;521.25;0.04722343681679055;0.027984258854394404;0.0379864451246174;54;37;41.75;9;4;6.25;48;48;35.5;4
3elt.graph;4720;13722;.bfs;2;Balance_Big_Parallel;BB;1.0;413.5;0.039134236991692176;0.021279696837195744;0.030134091240343976;181;110;140.25;6;3;4.25;178;178;136.0;4
3elt.graph;4720;13722;.bfs;2;Unweighted_Dispersion_Based_Parallel;UDB;10.004.237.288.135.500;308.25;0.030753534470193848;0.017344410435796532;0.022463926541320508;84;71;75.75;6;3;4.0;81;81;71.75;4
3elt.graph;4720;13722;.bfs;2;Linear_Dispersion_Based_Parallel;LDB;10.004.237.288.135.500;308.25;0.030753534470193848;0.017344410435796532;0.022463926541320508;84;69;78.75;7;3;4.5;81;81;74.25;4
3elt.graph;4720;13722;.bfs;2;Exponentially_Dispersion_Based_Parallel;EDB;10.004.237.288.135.500;308.25;0.030753534470193848;0.017344410435796532;0.022463926541320508;92;80;86.0;5;4;4.5;88;88;81.5;4
3elt.graph;4720;13722;.bfs;2;Balance_Big_Dispersion_Based_Parallel;BBDB;10.004.237.288.135.500;471.25;0.04102900451829179;0.026016615653694796;0.03434266141961813;223;153;186.5;7;3;4.5;216;216;182.0;4
3elt.graph;4720;13722;.bfs;2;Unweighted_Dispersion_Predict;UD;1.0;309.0;0.03089928581839382;0.017271534761696544;0.022518583296895496;1414;1335;1372.75;12;8;9.5;1402;1402;1363.25;4
3elt.graph;4720;13722;.bfs;2;Linear_Dispersion_Predict;LD;1.0;309.0;0.03089928581839382;0.017271534761696544;0.022518583296895496;1410;1335;1363.5;16;7;9.75;1403;1403;1353.75;4
3elt.graph;4720;13722;.bfs;2;Exponentially_Dispersion_Predict;ED;1.0;309.0;0.03089928581839382;0.017271534761696544;0.022518583296895496;1442;1433;1436.75;8;5;6.25;1436;1436;1430.5;4
3elt.graph;4720;13722;.bfs;2;Unweighted_Index_With_Dispersion;UIWD;1.0;309.0;0.03089928581839382;0.017271534761696544;0.022518583296895496;93;87;91.25;14;4;6.75;89;89;84.5;4
3elt.graph;4720;13722;.bfs;2;Linear_Index_With_Dispersion;LIWD;1.0;309.0;0.03089928581839382;0.017271534761696544;0.022518583296895496;112;88;96.75;8;6;6.75;105;105;90.0;4
