GraphName;TotalNodes;TotalEdges;OrderingType;K;CompleteHeuristicName;HeuristicName;NormalizedLoad;CuttedEdges;MaxCuttedEdgesRatio;MinCuttedEdgesRatio;CuttedEdgesRatio;MaxTime;MinTime;AvgTime;MaxIOTime;MinIOTime;AvgIOTime;MaxPartitioningTime;MinPartitioningTime;AvgPartitioningTime;IterationTime
CA-GrQc.graph;5242;14496;.bfs;2;Hashing;H;1.0;7824.5;0.5411837748344371;0.5383554083885209;0.5397695916114791;25;21;22.5;7;3;4.75;20;20;17.75;4
CA-GrQc.graph;5242;14496;.bfs;2;Unweighted_Deterministic_Greedy_Parallel;UDG;10.003.815.337.657.300;1686.5;0.128932119205298;0.10395971302428256;0.11634243929359823;51;34;43.0;15;3;7.0;46;46;36.0;4
CA-GrQc.graph;5242;14496;.bfs;2;Linear_Deterministic_Greedy_Parallel;LDG;1.0;1688.25;0.12907008830022076;0.1038907284768212;0.11646316225165562;40;36;38.0;3;2;2.75;37;37;35.25;4
CA-GrQc.graph;5242;14496;.bfs;2;Exponentially_Deterministic_Greedy_Parallel;EDG;1.0;1688.25;0.12907008830022076;0.1038907284768212;0.11646316225165562;44;37;39.5;6;4;5.0;39;39;34.5;4
CA-GrQc.graph;5242;14496;.bfs;2;Unweighted_Randomized_Greedy_Parallel;URG;10.003.815.337.657.300;1686.5;0.128932119205298;0.10395971302428256;0.11634243929359823;68;52;56.5;7;4;5.5;63;63;51.0;4
CA-GrQc.graph;5242;14496;.bfs;2;Linear_Randomized_Greedy_Parallel;LRG;1.0;1688.25;0.12907008830022076;0.1038907284768212;0.11646316225165562;100;61;76.75;8;4;5.75;92;92;71.0;4
CA-GrQc.graph;5242;14496;.bfs;2;Exponentially_Randomized_Greedy_Parallel;ERG;1.0;1688.25;0.12907008830022076;0.1038907284768212;0.11646316225165562;72;65;68.5;7;4;5.25;68;68;63.25;4
CA-GrQc.graph;5242;14496;.bfs;2;Unweighted_Triangles_Parallel;UT;1.0;4008.25;0.30760209713024284;0.23509933774834438;0.2765073123620309;48;40;42.5;5;2;3.5;46;46;39.0;4
CA-GrQc.graph;5242;14496;.bfs;2;Linear_Triangles_Parallel;LT;1.0;3998.0;0.3047737306843267;0.23509933774834438;0.2758002207505519;40;39;39.75;6;3;4.5;37;37;35.25;4
CA-GrQc.graph;5242;14496;.bfs;2;Exponentially_Triangles_Parallel;ET;1.0;4008.25;0.30760209713024284;0.23509933774834438;0.2765073123620309;55;40;43.75;7;3;4.75;48;48;39.0;4
CA-GrQc.graph;5242;14496;.bfs;2;Balance_Big_Parallel;BB;1.0;4428.5;0.3109823399558499;0.2927014348785872;0.3054980684326711;387;367;374.5;11;6;8.5;376;376;366.0;4
CA-GrQc.graph;5242;14496;.bfs;2;Unweighted_Dispersion_Based_Parallel;UDB;10.003.815.337.657.300;1686.5;0.128932119205298;0.10395971302428256;0.11634243929359823;196;189;191.25;9;3;6.0;192;192;185.25;4
CA-GrQc.graph;5242;14496;.bfs;2;Linear_Dispersion_Based_Parallel;LDB;10.003.815.337.657.300;1686.5;0.128932119205298;0.10395971302428256;0.11634243929359823;232;180;195.75;7;4;5.25;227;227;190.5;4
CA-GrQc.graph;5242;14496;.bfs;2;Exponentially_Dispersion_Based_Parallel;EDB;10.003.815.337.657.300;1686.5;0.128932119205298;0.10395971302428256;0.11634243929359823;240;185;212.0;13;4;7.5;234;234;204.5;4
CA-GrQc.graph;5242;14496;.bfs;2;Balance_Big_Dispersion_Based_Parallel;BBDB;10.000.953.834.414.300;4586.5;0.32408940397350994;0.3083609271523179;0.31639762693156737;401;379;389.0;6;5;5.25;396;396;383.75;4
CA-GrQc.graph;5242;14496;.bfs;2;Unweighted_Dispersion_Predict;UD;1.0;1688.25;0.12907008830022076;0.1038907284768212;0.11646316225165562;1521;1236;1347.75;9;5;7.0;1515;1515;1340.75;4
CA-GrQc.graph;5242;14496;.bfs;2;Linear_Dispersion_Predict;LD;1.0;1688.25;0.12907008830022076;0.1038907284768212;0.11646316225165562;1545;1314;1412.25;7;4;6.0;1538;1538;1406.25;4
CA-GrQc.graph;5242;14496;.bfs;2;Exponentially_Dispersion_Predict;ED;1.0;1688.25;0.12907008830022076;0.1038907284768212;0.11646316225165562;1524;1432;1480.5;11;10;10.75;1513;1513;1469.75;4
CA-GrQc.graph;5242;14496;.bfs;2;Unweighted_Index_With_Dispersion;UIWD;1.0;1688.25;0.12907008830022076;0.1038907284768212;0.11646316225165562;247;193;208.5;6;2;4.5;241;241;204.0;4
CA-GrQc.graph;5242;14496;.bfs;2;Linear_Index_With_Dispersion;LIWD;1.0;1688.25;0.12907008830022076;0.1038907284768212;0.11646316225165562;237;200;215.0;9;5;6.75;230;230;208.25;4
CA-GrQc.graph;5242;14496;.bfs;2;Exponentially_Index_With_Dispersion;EIWD;1.0;1688.25;0.12907008830022076;0.1038907284768212;0.11646316225165562;217;187;198.75;8;5;6.25;211;211;192.5;4
CA-GrQc.graph;5242;14496;.bfs;2;STC;S;1.0;1688.25;0.12907008830022076;0.1038907284768212;0.11646316225165562;75;47;59.75;6;3;4.5;69;69;55.25;4
CA-GrQc.graph;5242;14496;.bfs;2;Linear_STC;LS;1.0;1688.25;0.12907008830022076;0.1038907284768212;0.11646316225165562;54;47;50.75;9;4;6.25;50;50;44.5;4
CA-GrQc.graph;5242;14496;.bfs;2;Exponentially_STC;ES;1.0;1688.25;0.12907008830022076;0.1038907284768212;0.11646316225165562;58;48;53.75;6;4;5.25;52;52;48.5;4
CA-GrQc.graph;5242;14496;.bfs;4;Hashing;H;1.000.763.358.778.620;11511.75;0.7951158940397351;0.7934602649006622;0.7941328642384106;30;17;22.5;14;3;6.0;21;21;16.5;4
CA-GrQc.graph;5242;14496;.bfs;4;Unweighted_Deterministic_Greedy_Parallel;UDG;1.001.526.717.557.250;2511.75;0.18384381898454746;0.16763245033112584;0.17327193708609273;107;89;94.75;7;4;4.75;100;100;90.0;4
CA-GrQc.graph;5242;14496;.bfs;4;Linear_Deterministic_Greedy_Parallel;LDG;1.000.763.358.778.620;2530.75;0.18494757174392937;0.16756346578366446;0.17458264348785874;99;95;97.0;6;5;5.25;94;94;91.75;4
CA-GrQc.graph;5242;14496;.bfs;4;Exponentially_Deterministic_Greedy_Parallel;EDG;1.000.763.358.778.620;2530.75;0.18494757174392937;0.16756346578366446;0.17458264348785874;105;100;101.75;8;5;6.25;100;100;95.5;4
CA-GrQc.graph;5242;14496;.bfs;4;Unweighted_Randomized_Greedy_Parallel;URG;1.001.526.717.557.250;2638.75;0.18715507726269315;0.172530353200883;0.18203297461368653;158;132;149.5;8;4;5.5;153;153;144.0;4
CA-GrQc.graph;5242;14496;.bfs;4;Linear_Randomized_Greedy_Parallel;LRG;1.000.763.358.778.620;2718.5;0.1916390728476821;0.18246412803532008;0.18753449227373067;260;176;201.5;27;3;10.0;233;233;191.5;4
CA-GrQc.graph;5242;14496;.bfs;4;Exponentially_Randomized_Greedy_Parallel;ERG;1.000.763.358.778.620;2718.5;0.1916390728476821;0.18246412803532008;0.18753449227373067;229;170;198.0;8;4;6.25;221;221;191.75;4
CA-GrQc.graph;5242;14496;.bfs;4;Unweighted_Triangles_Parallel;UT;1.000.763.358.778.620;6294.25;0.4614376379690949;0.41052704194260486;0.43420598785871967;110;100;103.25;11;4;6.75;105;105;96.5;4
CA-GrQc.graph;5242;14496;.bfs;4;Linear_Triangles_Parallel;LT;1.000.763.358.778.620;6294.25;0.4614376379690949;0.41052704194260486;0.43420598785871967;117;103;109.75;6;5;5.75;111;111;104.0;4
CA-GrQc.graph;5242;14496;.bfs;4;Exponentially_Triangles_Parallel;ET;1.000.763.358.778.620;6294.25;0.4614376379690949;0.41052704194260486;0.43420598785871967;113;104;107.0;7;4;5.5;108;108;101.5;4
CA-GrQc.graph;5242;14496;.bfs;4;Balance_Big_Parallel;BB;1.000.763.358.778.620;6829.0;0.47882174392935983;0.464817880794702;0.47109547461368656;459;388;411.75;8;6;6.5;451;451;405.25;4
CA-GrQc.graph;5242;14496;.bfs;4;Unweighted_Dispersion_Based_Parallel;UDB;1.001.526.717.557.250;2680.75;0.19232891832229582;0.1789459161147903;0.18493032560706402;208;188;194.75;7;3;4.75;204;204;190.0;4
CA-GrQc.graph;5242;14496;.bfs;4;Linear_Dispersion_Based_Parallel;LDB;1.001.526.717.557.250;2670.0;0.1912251655629139;0.17639348785871964;0.18418874172185432;206;182;190.5;10;3;5.5;203;203;185.0;4
CA-GrQc.graph;5242;14496;.bfs;4;Exponentially_Dispersion_Based_Parallel;EDB;1.001.526.717.557.250;2694.25;0.19267384105960264;0.17949779249448122;0.1858616169977925;221;199;209.0;6;3;4.0;215;215;205.0;4
CA-GrQc.graph;5242;14496;.bfs;4;Balance_Big_Dispersion_Based_Parallel;BBDB;1.000.763.358.778.620;6916.75;0.48006346578366443;0.4735789183222958;0.47714886865342165;399;313;369.25;10;6;7.5;392;392;361.75;4
CA-GrQc.graph;5242;14496;.bfs;4;Unweighted_Dispersion_Predict;UD;1.000.763.358.778.620;2412.0;0.17287527593818985;0.15956125827814568;0.16639072847682118;8172;7680;7872.0;11;6;7.75;8165;8165;7864.25;4
CA-GrQc.graph;5242;14496;.bfs;4;Linear_Dispersion_Predict;LD;1.000.763.358.778.620;3905.75;0.277317880794702;0.2631760485651214;0.2694363962472406;5593;4984;5195.25;7;5;6.0;5587;5587;5189.25;4
CA-GrQc.graph;5242;14496;.bfs;4;Exponentially_Dispersion_Predict;ED;1.000.763.358.778.620;2414.5;0.1740480132450331;0.15693984547461368;0.1665631898454746;8103;7741;7862.0;10;7;8.25;8096;8096;7853.75;4
CA-GrQc.graph;5242;14496;.bfs;4;Unweighted_Index_With_Dispersion;UIWD;1.000.763.358.778.620;2581.0;0.18267108167770418;0.17170253863134657;0.1780491169977925;233;205;215.5;5;4;4.25;229;229;211.25;4
CA-GrQc.graph;5242;14496;.bfs;4;Linear_Index_With_Dispersion;LIWD;1.000.763.358.778.620;2579.75;0.18225717439293598;0.17177152317880795;0.1779628863134658;231;206;220.75;7;2;5.0;226;226;215.75;4
CA-GrQc.graph;5242;14496;.bfs;4;Exponentially_Index_With_Dispersion;EIWD;1.000.763.358.778.620;2574.75;0.18267108167770418;0.17177152317880795;0.17761796357615894;219;201;207.25;7;5;6.0;213;213;201.25;4
CA-GrQc.graph;5242;14496;.bfs;4;STC;S;1.000.763.358.778.620;2501.75;0.17798013245033112;0.16625275938189846;0.17258209161147903;92;68;78.0;12;6;8.75;82;82;69.25;4
CA-GrQc.graph;5242;14496;.bfs;4;Linear_STC;LS;1.000.763.358.778.620;2501.75;0.17798013245033112;0.16625275938189846;0.17258209161147903;81;71;75.25;6;3;4.25;78;78;71.0;4
CA-GrQc.graph;5242;14496;.bfs;4;Exponentially_STC;ES;1.000.763.358.778.620;2501.75;0.17798013245033112;0.16625275938189846;0.17258209161147903;100;71;83.5;6;2;4.25;96;96;79.25;4
CA-GrQc.graph;5242;14496;.bfs;8;Hashing;H;1.001.526.717.557.250;13150.5;0.9090783664459161;0.9052842163355408;0.9071812913907285;46;17;30.0;5;4;4.5;41;41;25.5;4
CA-GrQc.graph;5242;14496;.bfs;8;Unweighted_Deterministic_Greedy_Parallel;UDG;10.030.534.351.145.000;3089.25;0.24517108167770418;0.1994343267108168;0.2131105132450331;147;132;140.25;6;2;4.25;142;142;136.0;4
CA-GrQc.graph;5242;14496;.bfs;8;Linear_Deterministic_Greedy_Parallel;LDG;1.001.526.717.557.250;3033.5;0.24006622516556292;0.19729580573951436;0.20926462472406182;152;122;133.5;8;4;5.5;147;147;128.0;4
CA-GrQc.graph;5242;14496;.bfs;8;Exponentially_Deterministic_Greedy_Parallel;EDG;1.001.526.717.557.250;3033.5;0.24006622516556292;0.19729580573951436;0.20926462472406182;146;129;138.5;8;3;5.0;140;140;133.5;4
CA-GrQc.graph;5242;14496;.bfs;8;Unweighted_Randomized_Greedy_Parallel;URG;10.030.534.351.145.000;3785.75;0.28663079470198677;0.24655077262693156;0.26115825055187636;248;196;222.5;8;4;6.0;244;244;216.5;4
CA-GrQc.graph;5242;14496;.bfs;8;Linear_Randomized_Greedy_Parallel;LRG;1.001.526.717.557.250;3723.5;0.27918046357615894;0.24199779249448122;0.25686396247240617;286;252;263.5;11;5;7.0;275;275;256.5;4
CA-GrQc.graph;5242;14496;.bfs;8;Exponentially_Randomized_Greedy_Parallel;ERG;1.001.526.717.557.250;3723.5;0.27918046357615894;0.24199779249448122;0.25686396247240617;253;248;251.0;11;6;7.25;247;247;243.75;4
CA-GrQc.graph;5242;14496;.bfs;8;Unweighted_Triangles_Parallel;UT;1.001.526.717.557.250;8229.0;0.589817880794702;0.5505656732891833;0.5676738410596027;151;128;136.0;11;3;7.25;142;142;128.75;4
CA-GrQc.graph;5242;14496;.bfs;8;Linear_Triangles_Parallel;LT;1.001.526.717.557.250;8332.25;0.589817880794702;0.5509105960264901;0.5747964955849889;131;126;129.0;6;3;4.5;126;126;124.5;4
CA-GrQc.graph;5242;14496;.bfs;8;Exponentially_Triangles_Parallel;ET;1.001.526.717.557.250;8229.0;0.589817880794702;0.5505656732891833;0.5676738410596027;158;128;139.5;8;2;4.25;156;156;135.25;4
CA-GrQc.graph;5242;14496;.bfs;8;Balance_Big_Parallel;BB;1.001.526.717.557.250;8049.5;0.5609823399558499;0.5515314569536424;0.5552911147902869;483;413;440.25;7;5;5.75;477;477;434.5;4
CA-GrQc.graph;5242;14496;.bfs;8;Unweighted_Dispersion_Based_Parallel;UDB;10.030.534.351.145.000;3412.5;0.26786699779249445;0.22040562913907286;0.23540976821192053;219;200;207.75;7;6;6.25;212;212;201.5;4
CA-GrQc.graph;5242;14496;.bfs;8;Linear_Dispersion_Based_Parallel;LDB;10.030.534.351.145.000;3424.5;0.2653835540838852;0.22357891832229582;0.23623758278145696;246;199;220.25;8;5;5.75;241;241;214.5;4
CA-GrQc.graph;5242;14496;.bfs;8;Exponentially_Dispersion_Based_Parallel;EDB;10.030.534.351.145.000;3392.0;0.26600441501103755;0.2196467991169978;0.2339955849889625;235;196;213.75;8;2;5.5;227;227;208.25;4
CA-GrQc.graph;5242;14496;.bfs;8;Balance_Big_Dispersion_Based_Parallel;BBDB;1.001.526.717.557.250;8266.25;0.5754001103752759;0.5654663355408388;0.5702435154525386;409;396;402.5;10;6;8.0;403;403;394.5;4
CA-GrQc.graph;5242;14496;.bfs;8;Unweighted_Dispersion_Predict;UD;1.001.526.717.557.250;2703.25;0.21385209713024284;0.17246136865342163;0.18648247792494482;28998;27568;28214.0;12;5;9.0;28986;28986;28205.0;4
CA-GrQc.graph;5242;14496;.bfs;8;Linear_Dispersion_Predict;LD;1.001.526.717.557.250;5994.5;0.44267384105960267;0.3990066225165563;0.41352786975717437;15453;14463;14848.0;15;6;8.75;15447;15447;14839.25;4
CA-GrQc.graph;5242;14496;.bfs;8;Exponentially_Dispersion_Predict;ED;1.001.526.717.557.250;2794.75;0.214817880794702;0.17246136865342163;0.19279456401766004;28886;26984;27963.5;13;8;10.0;28878;28878;27953.5;4
CA-GrQc.graph;5242;14496;.bfs;8;Unweighted_Index_With_Dispersion;UIWD;1.001.526.717.557.250;3201.5;0.2573123620309051;0.2081953642384106;0.22085402869757173;239;205;218.5;6;4;5.5;235;235;213.0;4
CA-GrQc.graph;5242;14496;.bfs;8;Linear_Index_With_Dispersion;LIWD;1.001.526.717.557.250;3207.0;0.2566915011037528;0.2088852097130243;0.22123344370860928;233;207;218.0;6;3;4.75;228;228;213.25;4
CA-GrQc.graph;5242;14496;.bfs;8;Exponentially_Index_With_Dispersion;EIWD;1.001.526.717.557.250;3195.25;0.25655353200883;0.20653973509933773;0.22042287527593818;223;205;211.75;7;4;5.75;218;218;206.0;4
