GraphName;TotalNodes;TotalEdges;OrderingType;K;CompleteHeuristicName;HeuristicName;NormalizedLoad;CuttedEdges;MaxCuttedEdgesRatio;MinCuttedEdgesRatio;CuttedEdgesRatio;MaxTime;MinTime;AvgTime;MaxIOTime;MinIOTime;AvgIOTime;MaxPartitioningTime;MinPartitioningTime;AvgPartitioningTime;IterationTime
CA-HepTh.graph;9877;25998;.bfs;2;Hashing;H;10.002.025.111.381.100;13891.0;0.5360412339410724;0.5324255711977844;0.5343103315639665;66;47;55.0;18;5;10.25;48;48;44.75;4
CA-HepTh.graph;9877;25998;.bfs;2;Unweighted_Deterministic_Greedy_Parallel;UDG;10.004.050.222.762.200;3856.75;0.15101161627817525;0.14470343872605584;0.14834794984229555;136;104;115.5;11;6;8.5;125;125;107.0;4
CA-HepTh.graph;9877;25998;.bfs;2;Linear_Deterministic_Greedy_Parallel;LDG;10.002.025.111.381.100;3858.25;0.1510885452727133;0.1448188322178629;0.1484056465881991;132;107;120.25;14;4;9.25;118;118;111.0;4
CA-HepTh.graph;9877;25998;.bfs;2;Exponentially_Deterministic_Greedy_Parallel;EDG;10.002.025.111.381.100;3858.25;0.1510885452727133;0.1448188322178629;0.1484056465881991;126;90;106.5;8;5;6.5;121;121;100.0;4
CA-HepTh.graph;9877;25998;.bfs;2;Unweighted_Randomized_Greedy_Parallel;URG;10.004.050.222.762.200;3856.75;0.15101161627817525;0.14470343872605584;0.14834794984229555;186;132;156.0;9;6;7.5;179;179;148.5;4
CA-HepTh.graph;9877;25998;.bfs;2;Linear_Randomized_Greedy_Parallel;LRG;10.002.025.111.381.100;3858.25;0.1510885452727133;0.1448188322178629;0.1484056465881991;202;162;182.25;12;5;9.5;192;192;172.75;4
CA-HepTh.graph;9877;25998;.bfs;2;Exponentially_Randomized_Greedy_Parallel;ERG;10.002.025.111.381.100;3858.25;0.1510885452727133;0.1448188322178629;0.1484056465881991;206;120;174.0;9;6;7.75;198;198;166.25;4
CA-HepTh.graph;9877;25998;.bfs;2;Unweighted_Triangles_Parallel;UT;10.002.025.111.381.100;7773.75;0.3092930225401954;0.28021386260481573;0.29901338564504965;151;111;126.0;13;4;9.5;139;139;116.5;4
CA-HepTh.graph;9877;25998;.bfs;2;Linear_Triangles_Parallel;LT;10.002.025.111.381.100;7773.75;0.3092930225401954;0.28021386260481573;0.29901338564504965;143;97;121.5;10;6;8.75;134;134;112.75;4
CA-HepTh.graph;9877;25998;.bfs;2;Exponentially_Triangles_Parallel;ET;10.002.025.111.381.100;7773.75;0.3092930225401954;0.28021386260481573;0.29901338564504965;132;89;114.0;9;5;6.75;125;125;107.25;4
