"GraphName" "TotalNodes" "TotalEdges" "OrderingType" "K" "CompleteHeuristicName" "HeuristicName" "NormalizedLoad" "CuttedEdges" "MaxCuttedEdgesRatio" "MinCuttedEdgesRatio" "CuttedEdgesRatio" "MaxTime" "MinTime" "AvgTime" "MaxIOTime" "MinIOTime" "AvgIOTime" "MaxPartitioningTime" "MinPartitioningTime" "AvgPartitioningTime" "IterationTime"
"cs4.graph" "22499" "43858" ".bfs" "2" "Hashing" "H" "1.000088896790826" "22858.25" "0.5243513156094669" "0.5184458935655981" "0.5211876966573943" "100" "57" "80.75" "15" "9" "12.75" "85" "85" "68.0" "4"
"cs4.graph" "22499" "43858" ".bfs" "2" "Unweighted_Deterministic_Greedy_Parallel" "UDG" "1.0001777935816516" "933.5" "0.02339367960235305" "0.01901591499840394" "0.021284600300971318" "155" "130" "136.75" "12" "5" "8.25" "143" "143" "128.5" "4"
"cs4.graph" "22499" "43858" ".bfs" "2" "Linear_Deterministic_Greedy_Parallel" "LDG" "1.000088896790826" "933.0" "0.02334807788772858" "0.019038715855716176" "0.0212731998723152" "212" "136" "156.25" "12" "9" "10.5" "202" "202" "145.75" "4"
"cs4.graph" "22499" "43858" ".bfs" "2" "Exponentially_Deterministic_Greedy_Parallel" "EDG" "1.000088896790826" "933.0" "0.02334807788772858" "0.019038715855716176" "0.0212731998723152" "185" "142" "155.75" "26" "6" "13.5" "159" "159" "142.25" "4"
"cs4.graph" "22499" "43858" ".bfs" "2" "Unweighted_Randomized_Greedy_Parallel" "URG" "1.0001777935816516" "933.5" "0.02339367960235305" "0.01901591499840394" "0.021284600300971318" "222" "188" "199.0" "15" "10" "12.75" "207" "207" "186.25" "4"
"cs4.graph" "22499" "43858" ".bfs" "2" "Linear_Randomized_Greedy_Parallel" "LRG" "1.000088896790826" "933.0" "0.02334807788772858" "0.019038715855716176" "0.0212731998723152" "231" "225" "228.0" "15" "12" "13.0" "218" "218" "215.0" "4"
"cs4.graph" "22499" "43858" ".bfs" "2" "Exponentially_Randomized_Greedy_Parallel" "ERG" "1.000088896790826" "933.0" "0.02334807788772858" "0.019038715855716176" "0.0212731998723152" "322" "241" "271.75" "24" "13" "16.25" "298" "298" "255.5" "4"
"cs4.graph" "22499" "43858" ".bfs" "2" "Unweighted_Triangles_Parallel" "UT" "1.000088896790826" "20833.75" "0.4767659263988326" "0.4724565643668202" "0.4750273610287747" "215" "156" "186.0" "19" "10" "14.75" "198" "198" "171.25" "4"
"cs4.graph" "22499" "43858" ".bfs" "2" "Linear_Triangles_Parallel" "LT" "1.000088896790826" "20833.75" "0.4767659263988326" "0.4724565643668202" "0.4750273610287747" "147" "136" "142.5" "18" "10" "14.25" "137" "137" "128.25" "4"
"cs4.graph" "22499" "43858" ".bfs" "2" "Exponentially_Triangles_Parallel" "ET" "1.000088896790826" "20833.75" "0.4767659263988326" "0.4724565643668202" "0.4750273610287747" "186" "147" "163.0" "15" "7" "10.75" "171" "171" "152.25" "4"
