"GraphName" "TotalNodes" "TotalEdges" "OrderingType" "K" "CompleteHeuristicName" "HeuristicName" "NormalizedLoad" "CuttedEdges" "MaxCuttedEdgesRatio" "MinCuttedEdgesRatio" "CuttedEdgesRatio" "MaxTime" "MinTime" "AvgTime" "MaxIOTime" "MinIOTime" "AvgIOTime" "MaxPartitioningTime" "MinPartitioningTime" "AvgPartitioningTime" "IterationTime"
"cti.graph" "16840" "48232" ".bfs" "2" "Hashing" "H" "1.0" "24795.0" "0.5202562614032178" "0.4997097362746724" "0.5140777906783878" "105" "85" "94.75" "19" "10" "14.0" "91" "91" "80.75" "4"
"cti.graph" "16840" "48232" ".bfs" "2" "Unweighted_Deterministic_Greedy_Parallel" "UDG" "1.0001187648456058" "1992.25" "0.047043456626306185" "0.033857190247138826" "0.041305564770277" "154" "107" "130.75" "12" "7" "10.5" "142" "142" "120.25" "4"
"cti.graph" "16840" "48232" ".bfs" "2" "Linear_Deterministic_Greedy_Parallel" "LDG" "1.0" "1992.0" "0.047043456626306185" "0.033857190247138826" "0.041300381489467575" "173" "112" "132.0" "12" "8" "9.75" "163" "163" "122.25" "4"
"cti.graph" "16840" "48232" ".bfs" "2" "Exponentially_Deterministic_Greedy_Parallel" "EDG" "1.0" "1992.0" "0.047043456626306185" "0.033857190247138826" "0.041300381489467575" "153" "119" "128.75" "12" "6" "9.5" "141" "141" "119.25" "4"
"cti.graph" "16840" "48232" ".bfs" "2" "Unweighted_Randomized_Greedy_Parallel" "URG" "1.0001187648456058" "1992.25" "0.047043456626306185" "0.033857190247138826" "0.041305564770277" "158" "152" "154.75" "12" "6" "9.0" "152" "152" "145.75" "4"
"cti.graph" "16840" "48232" ".bfs" "2" "Linear_Randomized_Greedy_Parallel" "LRG" "1.0" "1992.0" "0.047043456626306185" "0.033857190247138826" "0.041300381489467575" "262" "184" "227.0" "11" "8" "9.25" "253" "253" "217.75" "4"
"cti.graph" "16840" "48232" ".bfs" "2" "Exponentially_Randomized_Greedy_Parallel" "ERG" "1.0" "1992.0" "0.047043456626306185" "0.033857190247138826" "0.041300381489467575" "201" "187" "193.5" "7" "6" "6.75" "194" "194" "186.75" "4"
"cti.graph" "16840" "48232" ".bfs" "2" "Unweighted_Triangles_Parallel" "UT" "1.0" "24561.5" "0.516171836125394" "0.4936971305357439" "0.5092366064023884" "120" "115" "118.5" "12" "6" "8.0" "114" "114" "110.5" "4"
"cti.graph" "16840" "48232" ".bfs" "2" "Linear_Triangles_Parallel" "LT" "1.0" "24561.5" "0.516171836125394" "0.4936971305357439" "0.5092366064023884" "133" "114" "123.25" "12" "6" "9.0" "124" "124" "114.25" "4"
"cti.graph" "16840" "48232" ".bfs" "2" "Exponentially_Triangles_Parallel" "ET" "1.0" "24561.5" "0.516171836125394" "0.4936971305357439" "0.5092366064023884" "247" "123" "178.25" "14" "7" "10.5" "240" "240" "167.75" "4"
"cti.graph" "16840" "48232" ".bfs" "2" "Balance_Big_Parallel" "BB" "1.0" "2097.75" "0.05763808260076298" "0.03387792337037651" "0.04349290927185271" "532" "387" "426.0" "17" "5" "11.0" "519" "519" "415.0" "4"
"cti.graph" "16840" "48232" ".bfs" "2" "Unweighted_Dispersion_Based_Parallel" "UDB" "1.0001187648456058" "1992.25" "0.047043456626306185" "0.033857190247138826" "0.041305564770277" "268" "215" "240.75" "14" "9" "11.25" "255" "255" "229.5" "4"
