GraphName;TotalNodes;TotalEdges;OrderingType;K;CompleteHeuristicName;HeuristicName;NormalizedLoad;CuttedEdges;MaxCuttedEdgesRatio;MinCuttedEdgesRatio;CuttedEdgesRatio;MaxTime;MinTime;AvgTime;MaxIOTime;MinIOTime;AvgIOTime;MaxPartitioningTime;MinPartitioningTime;AvgPartitioningTime;IterationTime
fe_4elt2.graph;11143;32818;.bfs;2;Hashing;H;10.001.795.009.872.500;19616.0;0.6012858797001646;0.5945517703699189;0.5977207629959169;66;37;48.0;9;6;8.0;57;57;40.0;4
fe_4elt2.graph;11143;32818;.bfs;2;Unweighted_Deterministic_Greedy_Parallel;UDG;10.003.590.019.745.100;363.25;0.011670424766896215;0.009994515205070388;0.011068620878786031;83;71;75.75;9;5;7.75;74;74;68.0;4
fe_4elt2.graph;11143;32818;.bfs;2;Linear_Deterministic_Greedy_Parallel;LDG;10.001.795.009.872.500;363.25;0.011670424766896215;0.009964044122128101;0.011068620878786031;83;74;77.75;13;5;9.0;72;72;68.75;4
fe_4elt2.graph;11143;32818;.bfs;2;Exponentially_Deterministic_Greedy_Parallel;EDG;10.001.795.009.872.500;363.25;0.011670424766896215;0.009964044122128101;0.011068620878786031;86;81;83.0;11;5;7.5;81;81;75.5;4
fe_4elt2.graph;11143;32818;.bfs;2;Unweighted_Randomized_Greedy_Parallel;URG;10.003.590.019.745.100;363.25;0.011670424766896215;0.009994515205070388;0.011068620878786031;128;101;110.25;8;3;6.0;121;121;104.25;4
fe_4elt2.graph;11143;32818;.bfs;2;Linear_Randomized_Greedy_Parallel;LRG;10.001.795.009.872.500;363.25;0.011670424766896215;0.009964044122128101;0.011068620878786031;170;119;137.25;9;3;5.75;161;161;131.5;4
fe_4elt2.graph;11143;32818;.bfs;2;Exponentially_Randomized_Greedy_Parallel;ERG;10.001.795.009.872.500;363.25;0.011670424766896215;0.009964044122128101;0.011068620878786031;152;130;136.75;8;5;7.0;144;144;129.75;4
fe_4elt2.graph;11143;32818;.bfs;2;Unweighted_Triangles_Parallel;UT;10.003.590.019.745.100;1988.5;0.07431897129623986;0.04887561703942958;0.06059174843073922;80;79;79.5;9;4;5.75;75;75;73.75;4
fe_4elt2.graph;11143;32818;.bfs;2;Linear_Triangles_Parallel;LT;10.001.795.009.872.500;1986.75;0.0742580291303553;0.048814674873545;0.060538424035590226;84;78;80.0;8;4;5.75;76;76;74.25;4
fe_4elt2.graph;11143;32818;.bfs;2;Exponentially_Triangles_Parallel;ET;10.001.795.009.872.500;1989.0;0.07437991346212444;0.048814674873545;0.06060698397221037;87;85;86.25;11;5;8.5;82;82;77.75;4
fe_4elt2.graph;11143;32818;.bfs;2;Balance_Big_Parallel;BB;10.001.795.009.872.500;453.25;0.01788652568712292;0.010451581449204704;0.01381101834359193;468;424;443.75;10;7;8.0;458;458;435.75;4
fe_4elt2.graph;11143;32818;.bfs;2;Unweighted_Dispersion_Based_Parallel;UDB;10.003.590.019.745.100;363.25;0.011670424766896215;0.009994515205070388;0.011068620878786031;207;166;191.75;9;6;7.75;198;198;184.0;4
fe_4elt2.graph;11143;32818;.bfs;2;Linear_Dispersion_Based_Parallel;LDB;10.003.590.019.745.100;363.25;0.011670424766896215;0.009994515205070388;0.011068620878786031;217;170;183.75;14;8;10.5;203;203;173.25;4
fe_4elt2.graph;11143;32818;.bfs;2;Exponentially_Dispersion_Based_Parallel;EDB;10.003.590.019.745.100;363.25;0.011670424766896215;0.009994515205070388;0.011068620878786031;238;218;227.5;10;7;8.75;231;231;218.75;4
fe_4elt2.graph;11143;32818;.bfs;2;Balance_Big_Dispersion_Based_Parallel;BBDB;10.003.590.019.745.100;672.0;0.026022304832713755;0.01706380644768115;0.02047656773721738;655;559;591.5;14;9;12.25;641;641;579.25;4
fe_4elt2.graph;11143;32818;.bfs;2;Unweighted_Dispersion_Predict;UD;10.001.795.009.872.500;363.25;0.011670424766896215;0.009964044122128101;0.011068620878786031;4157;3894;4001.0;20;10;14.75;4137;4137;3986.25;4
fe_4elt2.graph;11143;32818;.bfs;2;Linear_Dispersion_Predict;LD;10.001.795.009.872.500;363.25;0.011670424766896215;0.009964044122128101;0.011068620878786031;4290;3938;4089.5;21;14;17.75;4269;4269;4071.75;4
fe_4elt2.graph;11143;32818;.bfs;2;Exponentially_Dispersion_Predict;ED;10.001.795.009.872.500;363.25;0.011670424766896215;0.009964044122128101;0.011068620878786031;4078;3934;4017.25;16;9;12.75;4065;4065;4004.5;4
fe_4elt2.graph;11143;32818;.bfs;2;Unweighted_Index_With_Dispersion;UIWD;10.001.795.009.872.500;363.25;0.011670424766896215;0.009964044122128101;0.011068620878786031;258;185;215.5;11;4;8.0;250;250;207.5;4
