"GraphName" "TotalNodes" "TotalEdges" "OrderingType" "K" "CompleteHeuristicName" "HeuristicName" "NormalizedLoad" "CuttedEdges" "MaxCuttedEdgesRatio" "MinCuttedEdgesRatio" "CuttedEdgesRatio" "MaxTime" "MinTime" "AvgTime" "MaxIOTime" "MinIOTime" "AvgIOTime" "MaxPartitioningTime" "MinPartitioningTime" "AvgPartitioningTime" "IterationTime"
"memplus.graph" "17758" "54196" ".bfs" "2" "Hashing" "H" "1.0" "29154.0" "0.539541663591409" "0.5364787069156395" "0.537936379068566" "129" "95" "107.25" "18" "8" "12.25" "121" "121" "95.0" "4"
"memplus.graph" "17758" "54196" ".bfs" "2" "Unweighted_Deterministic_Greedy_Parallel" "UDG" "1.0001126252956414" "13392.25" "0.24728762270278248" "0.2468447855930327" "0.24710772012694662" "207" "147" "173.75" "15" "7" "11.5" "195" "195" "162.25" "4"
"memplus.graph" "17758" "54196" ".bfs" "2" "Linear_Deterministic_Greedy_Parallel" "LDG" "1.0" "13393.0" "0.24728762270278248" "0.24686323713927227" "0.2471215587866263" "179" "134" "150.0" "12" "9" "10.25" "168" "168" "139.75" "4"
"memplus.graph" "17758" "54196" ".bfs" "2" "Exponentially_Deterministic_Greedy_Parallel" "EDG" "1.0" "13393.0" "0.24728762270278248" "0.24686323713927227" "0.2471215587866263" "150" "134" "142.25" "23" "9" "13.5" "133" "133" "128.75" "4"
"memplus.graph" "17758" "54196" ".bfs" "2" "Unweighted_Randomized_Greedy_Parallel" "URG" "1.0001126252956414" "13392.25" "0.24728762270278248" "0.2468447855930327" "0.24710772012694662" "191" "189" "190.0" "16" "10" "12.75" "179" "179" "177.25" "4"
"memplus.graph" "17758" "54196" ".bfs" "2" "Linear_Randomized_Greedy_Parallel" "LRG" "1.0" "13393.0" "0.24728762270278248" "0.24686323713927227" "0.2471215587866263" "216" "210" "213.0" "10" "6" "8.25" "207" "207" "204.75" "4"
"memplus.graph" "17758" "54196" ".bfs" "2" "Exponentially_Randomized_Greedy_Parallel" "ERG" "1.0" "13393.0" "0.24728762270278248" "0.24686323713927227" "0.2471215587866263" "285" "225" "246.25" "13" "10" "11.5" "272" "272" "234.75" "4"
"memplus.graph" "17758" "54196" ".bfs" "2" "Unweighted_Triangles_Parallel" "UT" "1.0001126252956414" "13697.75" "0.26909735035796" "0.24725071961030334" "0.2527446675031368" "171" "136" "150.75" "13" "9" "11.0" "158" "158" "139.75" "4"
"memplus.graph" "17758" "54196" ".bfs" "2" "Linear_Triangles_Parallel" "LT" "1.0" "13647.75" "0.2654808472950033" "0.24725071961030334" "0.25182209019115803" "204" "158" "173.25" "12" "7" "9.5" "195" "195" "163.75" "4"
"memplus.graph" "17758" "54196" ".bfs" "2" "Exponentially_Triangles_Parallel" "ET" "1.0" "13697.0" "0.2691158019041996" "0.24725071961030334" "0.2527308288434571" "182" "152" "160.25" "12" "5" "8.5" "170" "170" "151.75" "4"
"memplus.graph" "17758" "54196" ".bfs" "2" "Balance_Big_Parallel" "BB" "1.0" "22414.5" "0.41608236770241347" "0.4114325780500406" "0.41358218318695106" "1933" "1826" "1877.25" "18" "13" "16.0" "1915" "1915" "1861.25" "4"
