GraphName;TotalNodes;TotalEdges;OrderingType;K;CompleteHeuristicName;HeuristicName;NormalizedLoad;CuttedEdges;MaxCuttedEdgesRatio;MinCuttedEdgesRatio;CuttedEdgesRatio;MaxTime;MinTime;AvgTime;MaxIOTime;MinIOTime;AvgIOTime;MaxPartitioningTime;MinPartitioningTime;AvgPartitioningTime;IterationTime
pl1000.graph;1000;9881;.bfs;2;Hashing;H;1.0;4941.25;0.5082481530209493;0.4926626859629592;0.500075903248659;19;10;13.5;9;3;5.75;10;10;7.75;4
pl1000.graph;1000;9881;.bfs;2;Unweighted_Deterministic_Greedy_Parallel;UDG;1.002;4493.75;0.45825321323752655;0.4476267584252606;0.45478696488209697;20;14;18.5;4;2;3.0;18;18;15.5;4
pl1000.graph;1000;9881;.bfs;2;Linear_Deterministic_Greedy_Parallel;LDG;1.0;4498.25;0.45926525655298045;0.4479303714198968;0.4552423843740512;24;17;20.0;3;2;2.5;22;22;17.5;4
pl1000.graph;1000;9881;.bfs;2;Exponentially_Deterministic_Greedy_Parallel;EDG;1.0;4498.25;0.45926525655298045;0.4479303714198968;0.4552423843740512;22;15;19.0;5;2;3.75;18;18;15.25;4
pl1000.graph;1000;9881;.bfs;2;Unweighted_Randomized_Greedy_Parallel;URG;1.002;4493.75;0.45825321323752655;0.4476267584252606;0.45478696488209697;22;18;20.0;2;2;2.0;20;20;18.0;4
pl1000.graph;1000;9881;.bfs;2;Linear_Randomized_Greedy_Parallel;LRG;1.0;4498.25;0.45926525655298045;0.4479303714198968;0.4552423843740512;29;21;23.75;9;2;5.25;20;20;18.5;4
pl1000.graph;1000;9881;.bfs;2;Exponentially_Randomized_Greedy_Parallel;ERG;1.0;4498.25;0.45926525655298045;0.4479303714198968;0.4552423843740512;24;21;23.0;4;2;2.5;22;22;20.5;4
pl1000.graph;1000;9881;.bfs;2;Unweighted_Triangles_Parallel;UT;1.002;4525.75;0.4622001821677968;0.4525857706709847;0.45802550349154947;25;15;18.0;12;3;6.0;13;13;12.0;4
pl1000.graph;1000;9881;.bfs;2;Linear_Triangles_Parallel;LT;1.0;4532.5;0.4634146341463415;0.45268697500253013;0.4587086327294808;18;17;17.25;4;2;2.5;16;16;14.75;4
pl1000.graph;1000;9881;.bfs;2;Exponentially_Triangles_Parallel;ET;1.0;4530.5;0.46270620382552374;0.45268697500253013;0.4585062240663901;22;17;19.0;3;2;2.5;20;20;16.5;4
pl1000.graph;1000;9881;.bfs;2;Balance_Big_Parallel;BB;1.0;4941.25;0.5082481530209493;0.4926626859629592;0.500075903248659;130;83;95.75;5;3;4.25;126;126;91.5;4
pl1000.graph;1000;9881;.bfs;2;Unweighted_Dispersion_Based_Parallel;UDB;1.002;4493.75;0.45825321323752655;0.4476267584252606;0.45478696488209697;159;117;129.0;6;3;4.25;156;156;124.75;4
pl1000.graph;1000;9881;.bfs;2;Linear_Dispersion_Based_Parallel;LDB;1.002;4493.75;0.45825321323752655;0.4476267584252606;0.45478696488209697;131;111;121.0;7;2;4.0;127;127;117.0;4
pl1000.graph;1000;9881;.bfs;2;Exponentially_Dispersion_Based_Parallel;EDB;1.002;4493.75;0.45825321323752655;0.4476267584252606;0.45478696488209697;120;108;115.5;6;3;4.5;115;115;111.0;4
pl1000.graph;1000;9881;.bfs;2;Balance_Big_Dispersion_Based_Parallel;BBDB;1.0;4941.25;0.5082481530209493;0.4926626859629592;0.500075903248659;86;81;83.5;4;2;3.0;82;82;80.5;4
pl1000.graph;1000;9881;.bfs;2;Unweighted_Dispersion_Predict;UD;1.0;4498.25;0.45926525655298045;0.4479303714198968;0.4552423843740512;864;833;851.75;6;3;4.5;861;861;847.25;4
pl1000.graph;1000;9881;.bfs;2;Linear_Dispersion_Predict;LD;1.0;4498.25;0.45926525655298045;0.4479303714198968;0.4552423843740512;866;831;851.5;5;3;4.25;861;861;847.25;4
pl1000.graph;1000;9881;.bfs;2;Exponentially_Dispersion_Predict;ED;1.0;4498.25;0.45926525655298045;0.4479303714198968;0.4552423843740512;892;855;871.75;4;3;3.75;888;888;868.0;4
pl1000.graph;1000;9881;.bfs;2;Unweighted_Index_With_Dispersion;UIWD;1.0;4498.25;0.45926525655298045;0.4479303714198968;0.4552423843740512;157;123;133.75;11;3;5.25;146;146;128.5;4
pl1000.graph;1000;9881;.bfs;2;Linear_Index_With_Dispersion;LIWD;1.0;4498.25;0.45926525655298045;0.4479303714198968;0.4552423843740512;150;127;138.25;4;2;3.0;147;147;135.25;4
pl1000.graph;1000;9881;.bfs;2;Exponentially_Index_With_Dispersion;EIWD;1.0;4498.25;0.45926525655298045;0.4479303714198968;0.4552423843740512;164;126;147.5;4;3;3.75;160;160;143.75;4
pl1000.graph;1000;9881;.bfs;2;STC;S;1.0;4498.25;0.45926525655298045;0.4479303714198968;0.4552423843740512;108;89;97.0;5;3;3.5;103;103;93.5;4
pl1000.graph;1000;9881;.bfs;2;Linear_STC;LS;1.0;4498.25;0.45926525655298045;0.4479303714198968;0.4552423843740512;153;90;115.0;3;2;2.5;150;150;112.5;4
pl1000.graph;1000;9881;.bfs;2;Exponentially_STC;ES;1.0;4498.25;0.45926525655298045;0.4479303714198968;0.4552423843740512;161;91;115.5;4;2;3.25;157;157;112.25;4
pl1000.graph;1000;9881;.bfs;4;Hashing;H;1.0;7404.25;0.753567452686975;0.7437506325270722;0.749342171844955;11;9;9.75;3;2;2.5;8;8;7.25;4
pl1000.graph;1000;9881;.bfs;4;Unweighted_Deterministic_Greedy_Parallel;UDG;1.004;6253.25;0.6364740410889586;0.6271632425867827;0.6328559862362109;36;28;30.5;4;2;3.0;33;33;27.5;4
pl1000.graph;1000;9881;.bfs;4;Linear_Deterministic_Greedy_Parallel;LDG;1.0;6264.0;0.6367776540835948;0.628276490233782;0.6339439328003238;37;27;33.5;5;2;3.25;34;34;30.25;4
pl1000.graph;1000;9881;.bfs;4;Exponentially_Deterministic_Greedy_Parallel;EDG;1.0;6273.0;0.6388017407145026;0.628276490233782;0.6348547717842323;41;35;39.0;7;3;4.25;38;38;34.75;4
pl1000.graph;1000;9881;.bfs;4;Unweighted_Randomized_Greedy_Parallel;URG;1.004;6870.25;0.6981074790001012;0.6914279931181054;0.6952990587997167;41;35;38.0;6;2;3.75;38;38;34.25;4
pl1000.graph;1000;9881;.bfs;4;Linear_Randomized_Greedy_Parallel;LRG;1.0;6865.0;0.6980062746685558;0.6916304017811963;0.6947677360591034;55;41;48.75;5;2;3.25;50;50;45.5;4
