"GraphName" "TotalNodes" "TotalEdges" "OrderingType" "K" "CompleteHeuristicName" "HeuristicName" "NormalizedLoad" "CuttedEdges" "MaxCuttedEdgesRatio" "MinCuttedEdgesRatio" "CuttedEdgesRatio" "MaxTime" "MinTime" "AvgTime" "MaxIOTime" "MinIOTime" "AvgIOTime" "MaxPartitioningTime" "MinPartitioningTime" "AvgPartitioningTime" "IterationTime"
"whitaker3.graph" "9800" "28989" ".bfs" "2" "Hashing" "H" "1.0" "17528.5" "0.6129221428817827" "0.6002966642519576" "0.6046603884231949" "76" "55" "64.5" "9" "6" "7.75" "70" "70" "56.75" "4"
"whitaker3.graph" "9800" "28989" ".bfs" "2" "Unweighted_Deterministic_Greedy_Parallel" "UDG" "1.000204081632653" "252.25" "0.012970437062333988" "0.004898409741626134" "0.008701576460036565" "101" "83" "94.25" "8" "4" "6.0" "95" "95" "88.25" "4"
"whitaker3.graph" "9800" "28989" ".bfs" "2" "Linear_Deterministic_Greedy_Parallel" "LDG" "1.0" "252.5" "0.012970437062333988" "0.004898409741626134" "0.008710200420849287" "91" "81" "84.0" "10" "5" "7.75" "86" "86" "76.25" "4"
"whitaker3.graph" "9800" "28989" ".bfs" "2" "Exponentially_Deterministic_Greedy_Parallel" "EDG" "1.0" "252.5" "0.012970437062333988" "0.004898409741626134" "0.008710200420849287" "137" "81" "106.0" "16" "6" "8.75" "121" "121" "97.25" "4"
"whitaker3.graph" "9800" "28989" ".bfs" "2" "Unweighted_Randomized_Greedy_Parallel" "URG" "1.000204081632653" "252.25" "0.012970437062333988" "0.004898409741626134" "0.008701576460036565" "131" "116" "126.75" "8" "4" "6.25" "126" "126" "120.5" "4"
"whitaker3.graph" "9800" "28989" ".bfs" "2" "Linear_Randomized_Greedy_Parallel" "LRG" "1.0" "252.5" "0.012970437062333988" "0.004898409741626134" "0.008710200420849287" "202" "158" "185.75" "11" "5" "8.25" "197" "197" "177.5" "4"
"whitaker3.graph" "9800" "28989" ".bfs" "2" "Exponentially_Randomized_Greedy_Parallel" "ERG" "1.0" "252.5" "0.012970437062333988" "0.004898409741626134" "0.008710200420849287" "176" "156" "168.75" "8" "3" "5.0" "170" "170" "163.75" "4"
"whitaker3.graph" "9800" "28989" ".bfs" "2" "Unweighted_Triangles_Parallel" "UT" "1.000204081632653" "658.75" "0.029597433509262135" "0.014108799889613301" "0.022724136741522648" "103" "75" "85.0" "13" "6" "9.25" "97" "97" "75.75" "4"
"whitaker3.graph" "9800" "28989" ".bfs" "2" "Linear_Triangles_Parallel" "LT" "1.0" "657.5" "0.029597433509262135" "0.014039808203111525" "0.022681016937459036" "142" "75" "101.5" "8" "4" "6.0" "135" "135" "95.5" "4"
"whitaker3.graph" "9800" "28989" ".bfs" "2" "Exponentially_Triangles_Parallel" "ET" "1.0" "659.0" "0.029597433509262135" "0.014039808203111525" "0.022732760702335368" "140" "82" "114.0" "8" "6" "7.25" "133" "133" "106.75" "4"
